Trade_Date,Titan_Close
,TITAN.NS
2014-01-01,218.26922607421875
2014-01-02,214.06085205078125
2014-01-03,215.05381774902344
2014-01-06,215.43209838867188
2014-01-07,213.77711486816406
2014-01-08,210.65628051757812
2014-01-09,211.696533203125
2014-01-10,208.29200744628906
2014-01-13,209.0959014892578
2014-01-14,209.0012969970703
2014-01-15,206.21145629882812
2014-01-16,206.3533172607422
2014-01-17,205.26571655273438
2014-01-20,204.74557495117188
2014-01-21,205.9750213623047
2014-01-22,205.5494842529297
2014-01-23,213.11509704589844
2014-01-24,206.82615661621094
2014-01-27,204.13092041015625
2014-01-28,205.21847534179688
2014-01-29,202.9960174560547
2014-01-30,210.70355224609375
2014-01-31,209.5214385986328
2014-02-03,208.00830078125
2014-02-04,209.7105712890625
2014-02-05,208.90670776367188
2014-02-06,213.3042449951172
2014-02-07,213.4461212158203
2014-02-10,218.41107177734375
2014-02-11,219.6877899169922
2014-02-12,217.79635620117188
2014-02-13,216.89797973632812
2014-02-14,218.9784698486328
2014-02-17,216.51966857910156
2014-02-18,216.23593139648438
2014-02-19,219.9714813232422
2014-02-20,221.43731689453125
2014-02-21,221.34278869628906
2014-02-24,222.90318298339844
2014-02-25,229.99598693847656
2014-02-26,232.26568603515625
2014-02-28,229.33399963378906
2014-03-03,235.71751403808594
2014-03-04,240.96620178222656
2014-03-05,232.31295776367188
2014-03-06,233.40054321289062
2014-03-07,241.1553192138672
2014-03-10,236.9469451904297
2014-03-11,235.24464416503906
2014-03-12,238.5546417236328
2014-03-13,237.98719787597656
2014-03-14,239.40577697753906
2014-03-18,241.486328125
2014-03-19,241.01348876953125
2014-03-20,239.6422119140625
2014-03-21,241.1553192138672
2014-03-24,239.16932678222656
2014-03-25,241.5336151123047
2014-03-26,235.24464416503906
2014-03-27,240.02047729492188
2014-03-28,239.40577697753906
2014-03-31,248.437255859375
2014-04-01,250.75428771972656
2014-04-02,250.94346618652344
2014-04-03,253.44955444335938
2014-04-04,255.15182495117188
2014-04-07,248.48455810546875
2014-04-09,249.90310668945312
2014-04-10,248.67373657226562
2014-04-11,248.48455810546875
2014-04-15,243.425048828125
2014-04-16,241.7700653076172
2014-04-17,243.23593139648438
2014-04-21,245.36375427246094
2014-04-22,247.0659637451172
2014-04-23,241.1553192138672
2014-04-24,241.1553192138672
2014-04-25,244.1815948486328
2014-04-28,244.27618408203125
2014-04-29,245.88388061523438
2014-04-30,241.01348876953125
2014-05-02,244.03973388671875
2014-05-05,247.86988830566406
2014-05-06,256.475830078125
2014-05-07,257.65789794921875
2014-05-08,262.3865051269531
2014-05-09,262.43377685546875
2014-05-12,269.5738830566406
2014-05-13,280.0238952636719
2014-05-14,288.1570129394531
2014-05-15,300.16748046875
2014-05-16,290.33209228515625
2014-05-19,290.6158447265625
2014-05-20,297.046630859375
2014-05-21,293.5948181152344
2014-05-22,313.4073486328125
2014-05-23,307.685791015625
2014-05-26,303.8084411621094
2014-05-27,301.6805725097656
2014-05-28,297.99237060546875
2014-05-29,296.8102111816406
2014-05-30,293.1692199707031
2014-06-02,298.03961181640625
2014-06-03,302.8627624511719
2014-06-04,302.8153991699219
2014-06-05,305.79443359375
2014-06-06,309.482666015625
2014-06-09,308.8679504394531
2014-06-10,322.86444091796875
2014-06-11,311.0430908203125
2014-06-12,310.8066101074219
2014-06-13,302.53173828125
2014-06-16,305.0851135253906
2014-06-17,304.9432678222656
2014-06-18,297.28302001953125
2014-06-19,303.0519104003906
2014-06-20,315.7243957519531
2014-06-23,308.34783935546875
2014-06-24,319.41259765625
2014-06-25,324.0938415527344
2014-06-26,327.9712829589844
2014-06-27,333.97650146484375
2014-06-30,333.8818664550781
2014-07-01,336.48260498046875
2014-07-02,339.98175048828125
2014-07-03,341.211181640625
2014-07-04,337.8066101074219
2014-07-07,337.99578857421875
2014-07-08,322.9589538574219
2014-07-09,329.0588073730469
2014-07-10,309.4353942871094
2014-07-11,312.4616394042969
2014-07-14,304.5177307128906
2014-07-15,311.9903259277344
2014-07-16,312.13299560546875
2014-07-17,318.4156494140625
2014-07-18,314.08447265625
2014-07-21,315.0364685058594
2014-07-22,321.5094299316406
2014-07-23,324.26995849609375
2014-07-24,319.93878173828125
2014-07-25,316.17864990234375
2014-07-28,318.4156494140625
2014-07-30,326.1737976074219
2014-07-31,324.65069580078125
2014-08-01,310.9431457519531
2014-08-04,325.74542236328125
2014-08-05,327.79205322265625
2014-08-06,327.69683837890625
2014-08-07,330.6002197265625
2014-08-08,325.5074462890625
2014-08-11,325.31707763671875
2014-08-12,332.31365966796875
2014-08-13,327.030517578125
2014-08-14,334.0746765136719
2014-08-18,333.5035400390625
2014-08-19,331.64727783203125
2014-08-20,329.74346923828125
2014-08-21,349.3053894042969
2014-08-22,345.78326416015625
2014-08-25,344.3077392578125
2014-08-26,344.26025390625
2014-08-27,346.116455078125
2014-08-28,345.9260559082031
2014-09-01,354.017333984375
2014-09-02,366.820556640625
2014-09-03,365.0119323730469
2014-09-04,369.2479248046875
2014-09-05,369.0099792480469
2014-09-08,367.2489318847656
2014-09-09,377.9579772949219
2014-09-10,366.5826416015625
2014-09-11,363.5840759277344
2014-09-12,369.34320068359375
2014-09-15,363.5840759277344
2014-09-16,358.25335693359375
2014-09-17,352.4466552734375
2014-09-18,368.96240234375
2014-09-19,369.8667297363281
2014-09-22,377.8628234863281
2014-09-23,372.05615234375
2014-09-24,374.2454833984375
2014-09-25,370.2950744628906
2014-09-26,370.4854736328125
2014-09-29,378.8147277832031
2014-09-30,388.3338623046875
